statePostal, year,unemployment,key
"Autauga County, AL",Aug-24 p,0.03,01-001
"Baldwin County, AL",Aug-24 p,0.031,01-003
"Barbour County, AL",Aug-24 p,0.049,01-005
"Bibb County, AL",Aug-24 p,0.033,01-007
"Blount County, AL",Aug-24 p,0.031,01-009
"Bullock County, AL",Aug-24 p,0.04,01-011
"Butler County, AL",Aug-24 p,0.038,01-013
"Calhoun County, AL",Aug-24 p,0.039,01-015
"Chambers County, AL",Aug-24 p,0.033,01-017
"Cherokee County, AL",Aug-24 p,0.03,01-019
"Chilton County, AL",Aug-24 p,0.031,01-021
"Choctaw County, AL",Aug-24 p,0.051,01-023
"Clarke County, AL",Aug-24 p,0.064,01-025
"Clay County, AL",Aug-24 p,0.03,01-027
"Cleburne County, AL",Aug-24 p,0.031,01-029
"Coffee County, AL",Aug-24 p,0.035,01-031
"Colbert County, AL",Aug-24 p,0.039,01-033
"Conecuh County, AL",Aug-24 p,0.047,01-035
"Coosa County, AL",Aug-24 p,0.036000000000000004,01-037
"Covington County, AL",Aug-24 p,0.036000000000000004,01-039
"Crenshaw County, AL",Aug-24 p,0.036000000000000004,01-041
"Cullman County, AL",Aug-24 p,0.028999999999999998,01-043
"Dale County, AL",Aug-24 p,0.033,01-045
"Dallas County, AL",Aug-24 p,0.062,01-047
"DeKalb County, AL",Aug-24 p,0.032,01-049
"Elmore County, AL",Aug-24 p,0.028999999999999998,01-051
"Escambia County, AL",Aug-24 p,0.04,01-053
"Etowah County, AL",Aug-24 p,0.039,01-055
"Fayette County, AL",Aug-24 p,0.039,01-057
"Franklin County, AL",Aug-24 p,0.033,01-059
"Geneva County, AL",Aug-24 p,0.033,01-061
"Greene County, AL",Aug-24 p,0.06,01-063
"Hale County, AL",Aug-24 p,0.045,01-065
"Henry County, AL",Aug-24 p,0.037000000000000005,01-067
"Houston County, AL",Aug-24 p,0.034,01-069
"Jackson County, AL",Aug-24 p,0.035,01-071
